from	to
PCOLCE2	SOCS2
PCOLCE2	PECR
PCOLCE2	PROK2
PCOLCE2	PGM1
PCOLCE2	STIL
PCOLCE2	POLQ
PCOLCE2	NUCB2
PCOLCE2	OMA1
PCOLCE2	LCP1
PCOLCE2	TRMT5
PCOLCE2	CD58
PCOLCE2	CACNB3
PCOLCE2	PFDN5
PCOLCE2	MYH9
PCOLCE2	PDZD2
PCOLCE2	KLHL7
PKIA	HADH
PKIA	TSPAN4
PKIA	SOCS2
PKIA	PECR
PKIA	PROK2
PKIA	PGM1
PKIA	STIL
PKIA	LXN
PKIA	TMEM106C
PKIA	POLQ
PKIA	NUCB2
PKIA	TBC1D8B
PKIA	CCDC58
PKIA	PFDN5
PKIA	PDZD2
PKIA	SLC9A3R1
FABP4	CD200R1
FABP4	GLS
FABP4	GSTP1
FABP4	ARL4C
FABP4	KAT2A
FABP4	PTGS1
FABP4	PGA5
FABP4	FES
FABP4	KIAA0391
FABP4	PLEKHA5
FABP4	DNASE1L3
FABP4	C11orf24
FABP4	PDHB
FABP4	MCCC1
FABP4	PARP1
FABP4	KLHDC3
FABP4	NCKAP1L
FABP4	AUTS2
FABP4	WDR6
FABP4	PDCD6IP
FABP4	TNK2
FABP4	CRYL1
FABP4	MPHOSPH9
FABP4	CLTC
FABP4	ZSCAN18
FABP4	WBSCR27
FABP4	HMGB1
FABP4	SIRT2
FABP4	TMEM14A
FABP4	DDX54
FABP4	TMCC2
FABP4	MCM3
FABP4	FAM173A
FABP4	TMEM30A
FABP4	LYPD3
FABP4	PLEKHG5
FABP4	CD320
FABP4	ERG
FABP4	PRKCZ
TGFBI	MAT2A
TGFBI	REPS2
TGFBI	ITM2C
TGFBI	GPT
TGFBI	TAPT1
TGFBI	PKD2
TGFBI	RPUSD4
TGFBI	ACTG1
TGFBI	RPL31
TGFBI	FDFT1
TGFBI	FAM98A
TGFBI	PPM1M
TGFBI	LGALS1
TGFBI	MDH1
TGFBI	TMSB4Y
TGFBI	NOB1
TGFBI	TCF3
TGFBI	FBXW9
TGFBI	DNAJC4
TGFBI	ZNF823
TGFBI	ZFP14
TGFBI	FLNA
TGFBI	KCNAB1
TGFBI	MTR
LIPA	IER3
LIPA	ITM2C
LIPA	FASN
LIPA	NAAA
LIPA	BZW2
LIPA	ADK
LIPA	NME4
LIPA	OSBPL7
LIPA	INPP5D
LIPA	AHCY
LIPA	TOR3A
LIPA	TMEM123
LIPA	SOD1
LIPA	ISOC2
LIPA	NDFIP1
LIPA	TRPV2
LIPA	AIFM1
LIPA	GAMT
LIPA	ECHS1
LIPA	PCBD1
LIPA	RNF170
LIPA	GNL3
LIPA	TEF
LIPA	PDXP
LIPA	IMP4
LIPA	WDR12
LIPA	NOB1
LIPA	C10orf2
LIPA	EPHB3
LIPA	APPL2
LIPA	HLA-DOA
LIPA	C22orf29
LIPA	KCNAB1
LIPA	ZBTB5
LIPA	LRPPRC
RGS18	EPDR1
RGS18	TLR5
RGS18	SUSD1
RGS18	DPY19L1
RGS18	SH3BP4
RGS18	MYO7A
RGS18	LILRB5
RGS18	RASSF2
RGS18	MGST2
RGS18	HADH
RGS18	ZNF773
RGS18	SLC12A9
RGS18	SLC7A6
RGS18	SGSM2
RGS18	REXO2
RGS18	MERTK
RGS18	ZNF789
RGS18	PDCD2L
RGS18	PDCL3
RGS18	CDCA7L
RGS18	VPS41
RGS18	MNAT1
RGS18	DEF6
RGS18	MFSD1
RGS18	MPEG1
RGS18	AIF1
RGS18	FUK
RGS18	COBLL1
RGS18	Sep-02
RGS18	SSR3
RGS18	VPS36
RGS18	TP53I13
RGS18	PRDX1
RGS18	NOL6
RGS18	SRPRB
RGS18	CENPB
RGS18	C16orf62
RGS18	RCBTB1
RGS18	PIK3R2
RGS18	FAM118B
RGS18	DNAJB11
RGS18	WDR92
RGS18	QDPR
RGS18	MYO5A
RGS18	CCNB1
RGS18	MPP1
RGS18	DUSP3
RGS18	FEZ2
RGS18	CALR
RGS18	NPC2
RGS18	SUCLA2
RGS18	HSP90B1
RGS18	ADSL
RGS18	ZW10
RGS18	SLC12A2
RGS18	MFSD11
RGS18	HSD17B4
RGS18	TMX3
RGS18	PLCG2
RGS18	GALT
RGS18	DCAKD
RGS18	PDCD6
RGS18	CMBL
RGS18	CCT5
RGS18	MPV17
RGS18	NDUFV2
RGS18	CLTA
RGS18	GPR137B
RGS18	PNPO
RGS18	SNRPE
RGS18	XRCC5
RGS18	ACTR1A
RGS18	CDK2AP2
RGS18	PDIA4
RGS18	PLCH2
RGS18	PCBD2
RGS18	HYAL3
RGS18	C15orf57
RGS18	ALDH18A1
RGS18	BCS1L
RGS18	SAMM50
RGS18	ZNF626
RGS18	COL6A1
RGS18	ACAD9
RGS18	MINA
RGS18	PPHLN1
RGS18	PDIA5
RGS18	CDK4
RGS18	LARS2
RGS18	GPR34
RGS18	SLC9A9
RGS18	ABCC5
RGS18	NEDD4
RGS18	CYP2U1
RGS18	ACSS1
RGS18	PFKFB2
RGS18	TRIM58
RGS18	AKR1A1
RGS18	PFKM
RGS18	BDH2
RGS18	ULK2
RGS18	SCP2
RGS18	TXNDC15
RGS18	UNC13B
RGS18	MTCH2
RGS18	LMO7
RGS18	UMPS
RGS18	DUT
RGS18	ATP5S
RGS18	NARS2
RGS18	C1orf127
RGS18	IPO11
RGS18	EIF2B1
ATP6V0C	TRIM69
ATP6V0C	BTN3A2
ATP6V0C	AKAP13
ATP6V0C	PCK2
ATP6V0C	XAB2
ATP6V0C	DUSP10
ATP6V0C	PDCD1LG2
ATP6V0C	IDO2
ATP6V0C	MOV10
ATP6V0C	SNX33
ATP6V0C	GPR108
ATP6V0C	KPNA2
ATP6V0C	NBPF10
ATP6V0C	YME1L1
ATP6V0C	ITK
ATP6V0C	FOXO3
ATP6V0C	PRPF3
ATP6V0C	NEK7
ATP6V0C	CENPJ
ATP6V0C	SPTY2D1
ATP6V0C	SLC35A4
ATP6V0C	CCL20
ATP6V0C	HERPUD2
ATP6V0C	POLR2A
ATP6V0C	NUP153
ATP6V0C	GSK3B
ATP6V0C	UBC
ATP6V0C	TFE3
ATP6V0C	KIAA1429
ATP6V0C	ARL6IP4
ATP6V0C	TBC1D23
ATP6V0C	PPM1B
ATP6V0C	C20orf96
ATP6V0C	RP2
ATP6V0C	BEGAIN
IFI35	LGALS9
IFI35	ANKRD29
IFI35	GIMAP5
IFI35	FFAR2
IFI35	RSAD2
IFI35	FAM20A
IFI35	ISG15
IFI35	SHISA5
IFI35	DUSP5
IFI35	LAMB3
IFI35	GPR65
IFI35	KCNMB1
IFI35	FYB
IFI35	ZYX
IFI35	ATP1A1
IFI35	PGD
IFI35	CD37
IFI35	NINJ1
IFI35	IKBKE
IFI35	CDA
IFI35	GALNT4
IFI35	PSME1
IFI35	HSD3B7
IFI35	FGR
IFI35	SELM
IFI35	RRP12
IFI35	CYB5R2
IFI35	LMF2
IFI35	HM13
IFI35	BST1
IFI35	NCOR1
IFI35	SERPINB9
IFI35	NDST1
IFI35	TCIRG1
IFI35	H1FX
IFI35	TP53INP2
IFI35	APOBEC3G
IFI35	HELQ
IFI35	SHKBP1
IFI35	IRF9
IFI35	SP110
IFI35	DUSP8
IFI35	WIPI1
IFI35	FLJ32255
IFI35	NLRP2
IFI35	RELB
IFI35	CEBPE
IFI35	ZFPM1
IFI35	LMTK2
IFI35	RASGRP1
IFI35	CIR1
IFI35	MAPRE3
IFI35	GMEB1
IFI35	AHI1
IFI35	TBC1D22B
IFI35	PRDX5
IFI35	DNHD1
IFI35	USF1
IFI35	PFKFB3
IFI35	SP140L
IFI35	PARP9
IFI35	STRN4
IFI35	PRPF6
IFI35	SOX13
IFI35	AKAP2
IFI35	SGMS1
IFI35	RBMS1
IFI35	STAG3
IFI35	FYTTD1
IFI35	CCDC50
IFI35	CANT1
IFI35	ZSCAN5A
IFI35	AVIL
IFI35	RHOQ
IFI35	ISY1
IFI35	CAPNS2
IFI35	GLRX2
IFI35	TBK1
IFI35	TDRD9
IFI35	RASA2
IFI35	SULT1A3
IFI35	ILDR1
IFI35	LMF1
IFI35	P4HB
IFI35	RHOT2
IFI35	PGS1
IFI35	C1orf122
IFI35	SLC8A1
IFI35	PSENEN
IFI35	NFKBIA
IFI35	NBPF11
IFI35	COPZ1
IFI35	C19orf40
IFI35	HYOU1
IFI35	RHOH
IFI35	RAB3IP
IFI35	VAV1
IFI35	MAPKAPK2
IFI35	FXN
IFI35	SLC9A8
IFI35	SRGN
IFI35	TLR10
CYP27A1	ALDH1A1
CYP27A1	MYD88
CYP27A1	PID1
CYP27A1	FAR2
CYP27A1	SLC29A3
CYP27A1	VASP
CYP27A1	NOP10
CYP27A1	EAF2
CYP27A1	SMOX
CYP27A1	H2AFY
GAPT	PDE1B
GAPT	TLR7
GAPT	SRPX
GAPT	PLCH1
GAPT	LRG1
GAPT	PSMD14
GAPT	HARBI1
GAPT	RAD1
GAPT	C22orf23
GAPT	MPP7
GAPT	SLC15A2
GAPT	GRAMD3
HTRA4	F3
HTRA4	FFAR2
HTRA4	DRAM1
HTRA4	DDX60
HTRA4	PARP14
HTRA4	TNFAIP2
HTRA4	BTG3
HTRA4	OTUD1
HTRA4	STOM
HTRA4	PPP1R15B
HTRA4	LIMK2
HTRA4	NRN1
HTRA4	SP110
HTRA4	NADK
HTRA4	CDK5RAP2
HTRA4	SPPL2A
HTRA4	ACO1
HTRA4	BCL2
HTRA4	MCTP2
HTRA4	LPGAT1
HTRA4	CD14
HTRA4	DYNLT3
HTRA4	TMEM33
HTRA4	ENTHD1
HTRA4	UTP23
HTRA4	PCSK6
HTRA4	RAB1A
HTRA4	DGKG
HTRA4	ACOT9
HTRA4	MAP1LC3B
HTRA4	ABHD13
HTRA4	UAP1
METTL7A	MOCOS
METTL7A	GLS
METTL7A	CLEC4A
METTL7A	SPINT2
METTL7A	C20orf27
METTL7A	RASAL1
METTL7A	ARHGEF6
METTL7A	FRMD4A
METTL7A	P2RY11
METTL7A	PAQR4
METTL7A	PGA5
METTL7A	SERPINF1
METTL7A	GOLPH3L
METTL7A	SNX29
METTL7A	ALDH5A1
METTL7A	DPYSL2
METTL7A	KIAA0391
METTL7A	MRPS25
METTL7A	LRMP
METTL7A	REEP5
METTL7A	SLC46A2
METTL7A	TRIM32
METTL7A	TDRKH
METTL7A	DOCK2
METTL7A	ZNF256
METTL7A	PIK3R1
METTL7A	TPRG1L
METTL7A	TRIT1
METTL7A	PPIC
METTL7A	PUS7L
METTL7A	NPEPPS
METTL7A	TPST2
METTL7A	ZFYVE21
METTL7A	NCKAP1L
METTL7A	NOL12
METTL7A	HCN3
METTL7A	DOCK10
METTL7A	TIGD5
METTL7A	NIPA1
METTL7A	HYLS1
METTL7A	ZNF516
METTL7A	TTYH2
METTL7A	ABHD15
METTL7A	SNRPN
METTL7A	YPEL1
METTL7A	MMACHC
METTL7A	UBL3
METTL7A	TRIM68
METTL7A	IKBKB
METTL7A	DDR1
METTL7A	P2RY14
METTL7A	SLC25A42
METTL7A	BCL9
METTL7A	CDK10
METTL7A	RNF125
METTL7A	MPHOSPH9
METTL7A	WDR75
METTL7A	HAUS4
METTL7A	ZNF512
METTL7A	BUB3
METTL7A	SNAPC4
METTL7A	VDAC3
METTL7A	GSPT2
METTL7A	TGOLN2
METTL7A	GTPBP3
METTL7A	MZF1
METTL7A	AGGF1
METTL7A	GNL2
METTL7A	LRRC14
METTL7A	HNRNPUL2
METTL7A	CLIC3
METTL7A	TROVE2
METTL7A	METTL3
METTL7A	MYO1C
METTL7A	POMT2
METTL7A	TBC1D13
METTL7A	ANK1
METTL7A	ZNF705A
METTL7A	CPSF4
METTL7A	ACAD9
METTL7A	ZNF835
METTL7A	ABCA3
METTL7A	MCM3
METTL7A	TRMT12
METTL7A	ACTR2
METTL7A	TMEM30A
METTL7A	ZDHHC7
METTL7A	ADAMTS10
METTL7A	AKAP5
METTL7A	RASGRP4
METTL7A	HN1L
METTL7A	FAM78A
METTL7A	DUSP22
METTL7A	CASP2
METTL7A	TFDP2
METTL7A	ACTL6A
MOCOS	C20orf27
MOCOS	ARHGEF6
MOCOS	SORL1
MOCOS	SERPINF1
MOCOS	GOLPH3L
MOCOS	RGL1
MOCOS	GNB2
MOCOS	LRMP
MOCOS	REEP5
MOCOS	TRIM32
MOCOS	TDRKH
MOCOS	BIVM
MOCOS	DOCK2
MOCOS	C16orf93
MOCOS	FUK
MOCOS	TPRG1L
MOCOS	PUS7L
MOCOS	NME3
MOCOS	NPEPPS
MOCOS	HCN3
MOCOS	CAMK2G
MOCOS	ABHD15
MOCOS	YPEL1
MOCOS	MMACHC
MOCOS	UBL3
MOCOS	SELT
MOCOS	P2RY14
MOCOS	SLC25A42
MOCOS	BCL9
MOCOS	CDK10
MOCOS	RNF125
MOCOS	MAN1A2
MOCOS	WDR75
MOCOS	VDAC3
MOCOS	ZDHHC18
MOCOS	TGOLN2
MOCOS	GNL2
MOCOS	HNRNPUL2
MOCOS	TROVE2
MOCOS	METTL3
MOCOS	MYO1C
MOCOS	FAM109B
MOCOS	C9orf139
MOCOS	SRP9
MOCOS	ANK1
MOCOS	ZNF705A
MOCOS	ACTR2
MOCOS	CORO7
MOCOS	ARRDC1
MOCOS	RNPEPL1
MOCOS	AGPAT1
MOCOS	NT5C
MOCOS	TUBGCP6
MOCOS	COG4
MOCOS	TMEM129
MOCOS	EML3
MOCOS	ACTL6A
TESC	PVALB
TESC	SNCA
TESC	LAD1
TESC	PRDM8
TESC	TGFA
TESC	BMF
TESC	FUT8
TESC	TCEAL8
TESC	CUX2
TESC	HSD17B10
TESC	WNT10B
TESC	NEK8
TESC	CD28
TESC	MRPS11
TESC	ADPRH
TESC	NSL1
TESC	PARD6A
TESC	SRGAP1
TESC	DDX43
TESC	TBC1D7
TESC	WDR63
LRRFIP1	MMD
LRRFIP1	TNFSF15
LRRFIP1	ZNF185
LRRFIP1	NET1
LRRFIP1	SLC37A4
LRRFIP1	SCAMP2
LRRFIP1	RBM17
LRRFIP1	PPP2R2B
LRRFIP1	COMMD1
LRRFIP1	XYLB
LRRFIP1	IDH1
LRRFIP1	SWAP70
LRRFIP1	ATPIF1
LRRFIP1	INTS8
LRRFIP1	NCL
GLIPR1	MMD
GLIPR1	XRCC2
GLIPR1	TNFSF15
GLIPR1	SLC35E1
GLIPR1	TBXAS1
GLIPR1	GPR180
GLIPR1	VAMP8
GLIPR1	HEYL
GLIPR1	CFL1
GLIPR1	LAPTM4B
GLIPR1	RBM17
GLIPR1	ARHGAP4
GLIPR1	RBM4B
GLIPR1	DHFR
GLIPR1	INTS8
GLIPR1	SMAGP
GLIPR1	S100B
GLIPR1	STAC3
GLIPR1	NQO1
GLIPR1	VANGL1
GLIPR1	SIDT1
GLIPR1	USP54
GLIPR1	H2AFV
AQP9	CYP27B1
AQP9	TCF7L2
AQP9	FCAR
AQP9	CEBPB
AQP9	DDIT3
AQP9	CD82
AQP9	DUSP6
AQP9	SLC44A2
AQP9	PCK2
AQP9	PLSCR1
AQP9	MMP9
AQP9	BTG3
AQP9	SLC22A15
AQP9	FAM124A
AQP9	IGF2BP3
AQP9	PPP1R15A
AQP9	FOS
AQP9	PPP1R15B
AQP9	HIVEP1
AQP9	DLEU7
AQP9	SP140
AQP9	ABHD5
AQP9	CDA
AQP9	EMP1
AQP9	SLC7A7
AQP9	LYZ
AQP9	SLC1A4
AQP9	BCAT1
AQP9	ITPRIP
AQP9	KYNU
AQP9	GIMAP4
AQP9	ZNF281
AQP9	SLC1A3
AQP9	SQRDL
AQP9	METTL9
AQP9	MR1
AQP9	PIK3AP1
AQP9	TICAM2
AQP9	SAV1
AQP9	IRAK3
AQP9	MITF
AQP9	SPRY2
AQP9	EML4
AQP9	PLAGL2
AQP9	LRRK2
AQP9	VPS37C
AQP9	TMBIM1
AQP9	PCGF1
AQP9	MBD2
AQP9	CRTAM
AQP9	PDE7A
AQP9	IL10RB
AQP9	CASP1
AQP9	TLR2
AQP9	SLC39A11
AQP9	UBE2J1
AQP9	C9orf91
AQP9	NR4A2
AQP9	WTAP
AQP9	ZFP36L2
AQP9	UBAP1
AQP9	POLD4
AQP9	AHI1
AQP9	FOXN2
AQP9	RAF1
AQP9	TOM1
AQP9	EGLN1
AQP9	SPP1
AQP9	SLC15A4
AQP9	DPY19L3
AQP9	MAP4K3
AQP9	CBX3
AQP9	C6orf120
AQP9	TREM1
AQP9	SDCBP
AQP9	ACSL4
AQP9	GTPBP2
AQP9	LACTB
AQP9	NFKBID
AQP9	GUCY1B3
AQP9	MEFV
AQP9	CLEC2B
AQP9	CLEC12B
AQP9	GSTO1
AQP9	GYPC
AQP9	ZNF410
AQP9	MGAM
AQP9	CLN5
AQP9	FAM20C
AQP9	FAM92A1
AQP9	OXSR1
AQP9	CCDC69
AQP9	CLU
AQP9	DCHS1
AQP9	DIXDC1
AQP9	SH3BP5
AQP9	RASSF8
AQP9	ACVR1B
AQP9	ARHGAP5
AQP9	SAP30
AQP9	ARFGAP3
AQP9	HSPA13
AQP9	IMPAD1
AQP9	CHST11
AQP9	CHSY1
AQP9	IFNAR1
AQP9	ARL8B
AQP9	GGCX
AQP9	CHM
AQP9	EIF2AK3
AQP9	KIAA2018
AQP9	ATP6V1A
AQP9	EIF2B2
AQP9	TUFT1
RAB20	LGALS9
RAB20	GIMAP5
RAB20	TNF
RAB20	LILRB3
RAB20	CEBPB
RAB20	ISG15
RAB20	GPR65
RAB20	NRIP3
RAB20	TNS3
RAB20	ZYX
RAB20	TMEM109
RAB20	DUSP10
RAB20	PLEKHA7
RAB20	CD37
RAB20	NINJ1
RAB20	CDA
RAB20	HSD3B7
RAB20	FGR
RAB20	SELM
RAB20	RRP12
RAB20	SCML1
RAB20	CYB5R2
RAB20	HERC5
RAB20	BST1
RAB20	NDST1
RAB20	TCIRG1
RAB20	H1FX
RAB20	DNAJC5B
RAB20	TNFAIP3
RAB20	HELQ
RAB20	GPR68
RAB20	DUSP8
RAB20	ZNF438
RAB20	NLRP2
RAB20	ZFPM1
RAB20	RASGRP1
RAB20	GMEB1
RAB20	USF1
RAB20	MAML2
RAB20	SOX13
RAB20	AKAP2
RAB20	RBMS1
RAB20	RHOQ
RAB20	FICD
RAB20	GLRX2
RAB20	RASA2
RAB20	PGS1
RAB20	YIPF1
RAB20	ZDHHC5
RAB20	NFKBIA
RAB20	TRPS1
RAB20	CGRRF1
RAB20	CDKN2D
RAB20	STBD1
RAB20	CCDC7
RAB20	C2CD3
RAB20	DNAJB9
RAB20	SRGN
RAB20	SNAP29
CCL7	DRAM1
CCL7	MTF1
CCL7	PLSCR1
CCL7	TRIM21
CCL7	MYO1G
CCL7	PTPN1
CCL7	SLC31A2
CCL7	RELA
CCL7	FBXO15
CCL7	MLPH
CCL7	RILPL2
CCL7	SPATA13
CCL7	PANX1
CCL7	FKBP15
CCL7	B3GNT2
CCL7	PARP10
CCL7	H1F0
CCL7	TM4SF1
CCL7	MR1
CCL7	ELMO2
CCL7	NEXN
CCL7	SFMBT2
CCL7	IL10RB
CCL7	ACSL5
CCL7	PAF1
CCL7	AOC3
CCL7	MYO1F
CCL7	BBX
CCL7	HMOX2
CCL7	NRP2
CCL7	ASAH1
CCL7	SARDH
CCL7	XBP1
CCL7	NIN
CCL7	CYGB
CCL7	ERAP1
CCL7	TMEM222
CCL7	LYN
CCL7	UHRF1
CCL7	SCAMP4
CCL7	TSGA10
CCL7	CCDC122
CCL7	TSG101
EAF1	DRAM1
EAF1	APOL6
EAF1	DUSP6
EAF1	MTF1
EAF1	TRIM21
EAF1	OTUD1
EAF1	PPP1R15B
EAF1	TNS3
EAF1	SLC31A2
EAF1	MLPH
EAF1	RILPL2
EAF1	BTG1
EAF1	CLDN7
EAF1	SLC7A7
EAF1	FKBP15
EAF1	TRIM25
EAF1	PIGA
EAF1	B4GALT5
EAF1	TLR1
EAF1	NRN1
EAF1	P2RX4
EAF1	ANAPC10
EAF1	SFMBT2
EAF1	ACSL5
EAF1	UBE2J1
EAF1	MYO1F
EAF1	BBX
EAF1	WTAP
EAF1	MESDC1
EAF1	POLD4
EAF1	GPD2
EAF1	ASAH1
EAF1	TOM1
EAF1	XBP1
EAF1	FYCO1
EAF1	USP6NL
EAF1	ERAP1
EAF1	LYN
EAF1	LACTB
EAF1	ACO1
EAF1	APOBEC3F
EAF1	TSGA10
EAF1	TXNL4B
EAF1	ATL2
EAF1	UTP23
EAF1	PGK1
EAF1	MAP1LC3B
EAF1	SMYD2
CYP27B1	DRAM1
CYP27B1	TCF7L2
CYP27B1	APOL6
CYP27B1	FCAR
CYP27B1	SLC43A3
CYP27B1	DUSP6
CYP27B1	NAMPT
CYP27B1	MTF1
CYP27B1	PLSCR1
CYP27B1	TRIM21
CYP27B1	PGAM1
CYP27B1	FAM124A
CYP27B1	PNRC1
CYP27B1	CKAP4
CYP27B1	PPP1R15B
CYP27B1	HIVEP1
CYP27B1	SPSB1
CYP27B1	SLC31A2
CYP27B1	DLEU7
CYP27B1	MLPH
CYP27B1	CLEC4E
CYP27B1	RILPL2
CYP27B1	SLC7A7
CYP27B1	ICAM3
CYP27B1	FKBP15
CYP27B1	TLE3
CYP27B1	GIMAP4
CYP27B1	CTRL
CYP27B1	LIMK2
CYP27B1	SQRDL
CYP27B1	PNPLA2
CYP27B1	MR1
CYP27B1	IRAK3
CYP27B1	FLOT1
CYP27B1	MITF
CYP27B1	RANBP6
CYP27B1	SPRY2
CYP27B1	S100A11
CYP27B1	FAM107B
CYP27B1	SFMBT2
CYP27B1	ACSL5
CYP27B1	MYO1F
CYP27B1	TMEM38B
CYP27B1	AGTRAP
CYP27B1	BBX
CYP27B1	ARFGEF2
CYP27B1	SEMA4B
CYP27B1	WTAP
CYP27B1	POLD4
CYP27B1	ZFAND3
CYP27B1	AHI1
CYP27B1	ASAH1
CYP27B1	TOM1
CYP27B1	ZFX
CYP27B1	SLC7A6OS
CYP27B1	DPY19L3
CYP27B1	XBP1
CYP27B1	MAP4K3
CYP27B1	CBX3
CYP27B1	FEM1B
CYP27B1	MED13
CYP27B1	CYCS
CYP27B1	TREM1
CYP27B1	SDCBP
CYP27B1	ERAP1
CYP27B1	LYN
CYP27B1	ACSL4
CYP27B1	LACTB
CYP27B1	ANXA5
CYP27B1	GUCY1B3
CYP27B1	MEFV
CYP27B1	MON1B
CYP27B1	TSGA10
CYP27B1	GSTO1
CYP27B1	GYPC
CYP27B1	MYBPH
CYP27B1	MGAM
CYP27B1	RRAGA
CYP27B1	TNFRSF10A
CYP27B1	OXSR1
CYP27B1	ANKRD28
CYP27B1	SH3BP5
CYP27B1	DNAJB5
CYP27B1	RASSF8
CYP27B1	ACVR1B
CYP27B1	ARFGAP3
CYP27B1	IMPAD1
CYP27B1	ATP1B3
CYP27B1	IFNAR1
CYP27B1	ARL8B
CYP27B1	SEC62
CYP27B1	CHM
CYP27B1	ZUFSP
CYP27B1	RTN4
CYP27B1	EIF2B2
CYP27B1	PHF5A
CYP27B1	RCN2
OLFML2B	SLC38A6
OLFML2B	ATP8B4
OLFML2B	PROS1
OLFML2B	CHPT1
OLFML2B	CHST12
OLFML2B	SLC36A1
OLFML2B	PECR
OLFML2B	LRP5L
OLFML2B	PRKAA1
OLFML2B	EVI5
OLFML2B	CHD1L
OLFML2B	CYB5R1
OLFML2B	DTX1
OLFML2B	TCEAL8
OLFML2B	ARMCX1
OLFML2B	ALKBH4
OLFML2B	SMARCE1
OLFML2B	FCHSD2
OLFML2B	OAT
OLFML2B	DHDDS
OLFML2B	AGPAT3
OLFML2B	PDLIM1
OLFML2B	HLA-DQB2
OLFML2B	TRDMT1
OLFML2B	B3GNT7
OLFML2B	SYNE1
OLFML2B	PRKACB
OLFML2B	AMOTL1
OLFML2B	FZD5
OLFML2B	YTHDC2
OLFML2B	UGDH
OLFML2B	CCDC43
IL15	HLA-H
IL15	HLA-A
IL15	ADRB2
IL15	SNX33
IL15	PARP6
IL15	ERAP2
IL15	CCL20
IL15	UBC
IL15	Mar-05
IL15	TBC1D23
IL15	PPM1B
IL15	C20orf96
IL15	RP2
IL15	C15orf39
IL15	REEP3
CD200R1	GSTP1
CD200R1	ARL4C
CD200R1	KAT2A
CD200R1	NAAA
CD200R1	PTGS1
CD200R1	FES
CD200R1	OSBPL7
CD200R1	MXD4
CD200R1	BLNK
CD200R1	CDR2
CD200R1	AHCY
CD200R1	MFSD3
CD200R1	CST7
CD200R1	ZNF296
CD200R1	PDHB
CD200R1	MCCC1
CD200R1	KLHDC3
CD200R1	WDR6
CD200R1	PDCD6IP
CD200R1	TNK2
CD200R1	AIFM1
CD200R1	ZSCAN18
CD200R1	CBX1
CD200R1	RRAS2
CD200R1	HMGB1
CD200R1	NTAN1
CD200R1	NOP56
CD200R1	TMEM14A
CD200R1	CHID1
CD200R1	NDFIP2
CD200R1	HRH1
CD200R1	SUCNR1
CD200R1	APPL2
CD200R1	TSEN54
CD200R1	DACT1
CD200R1	LRPPRC
CD200R1	GLUD2
FZD2	SOX8
FZD2	LRRC8A
FZD2	LOXL3
FZD2	IL10RA
FZD2	GALK1
FZD2	DAG1
FZD2	F8A1
LGALS9	GIMAP5
LGALS9	FAM20A
LGALS9	FYB
LGALS9	ZYX
LGALS9	CD37
LGALS9	NINJ1
LGALS9	CDA
LGALS9	GALNT4
LGALS9	PSME1
LGALS9	HSD3B7
LGALS9	FGR
LGALS9	SELM
LGALS9	RRP12
LGALS9	CYB5R2
LGALS9	LMF2
LGALS9	PML
LGALS9	NCOR1
LGALS9	SERPINB9
LGALS9	NDST1
LGALS9	TCIRG1
LGALS9	H1FX
LGALS9	HELQ
LGALS9	DUSP8
LGALS9	ZNF438
LGALS9	FLJ32255
LGALS9	NLRP2
LGALS9	CEBPE
LGALS9	ZFPM1
LGALS9	RASGRP1
LGALS9	GMEB1
LGALS9	AHI1
LGALS9	PRDX5
LGALS9	USF1
LGALS9	PFKFB3
LGALS9	IL32
LGALS9	SOX13
LGALS9	AKAP2
LGALS9	RBMS1
LGALS9	STAG3
LGALS9	CANT1
LGALS9	ZSCAN5A
LGALS9	RHOQ
LGALS9	CAPNS2
LGALS9	RAB42
LGALS9	GLRX2
LGALS9	RASA2
LGALS9	PGS1
LGALS9	SLC8A1
LGALS9	YIPF1
LGALS9	PSMD4
LGALS9	NUDT22
LGALS9	NFKBIA
LGALS9	TRPS1
LGALS9	SRGN
IER3	LRP5
IER3	FASN
IER3	NAAA
IER3	BZW2
IER3	ADK
IER3	NME4
IER3	OSBPL7
IER3	INPP5D
IER3	AHCY
IER3	SOD1
IER3	ISOC2
IER3	TRPV2
IER3	AIFM1
IER3	GAMT
IER3	ECHS1
IER3	PCBD1
IER3	GNL3
IER3	RUSC1
IER3	PDXP
IER3	IMP4
IER3	WDR12
IER3	SLC25A39
IER3	PLCG1
IER3	XRCC3
IER3	HLA-DQB2
IER3	CPT1A
IER3	MED24
IER3	LRPPRC
IER3	TOR2A
CDR2L	VCL
CDR2L	REPS2
CDR2L	EBPL
CDR2L	GCNT1
CDR2L	PELP1
CDR2L	TSPAN32
CDR2L	SH3PXD2A
CDR2L	PTGFRN
CDR2L	PPP1R3E
CDR2L	MAL
CDR2L	GSTT1
CDR2L	ALDH7A1
CDR2L	TMSB4X
CDR2L	KCTD6
CDR2L	RAB30
CDR2L	SCARB1
CDR2L	ARHGAP18
CDR2L	CRIP1
CDR2L	LIN7A
CDR2L	HDHD2
CDR2L	DIP2B
CDR2L	RAD21
CDR2L	RPL23
CDR2L	RPL4
CDR2L	RPL5
CDR2L	THG1L
CDR2L	C11orf74
CDR2L	RPUSD4
CDR2L	AGTPBP1
CDR2L	ZBTB4
CDR2L	SPATA5L1
CDR2L	XPO1
CDR2L	HDAC2
CDR2L	AHCYL2
CDR2L	TTC12
